alpha_w,Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50
0.84,0.4,0.0,0.04,1.7,0.0,0.77,2.5
0.84,0.63,0.0,0.04,1.6,0.0,0.75,2.42
0.84,0.8,0.0,0.02,0.95,0.0,0.71,2.33
1.69,0.4,0.0,0.04,1.7,0.0,0.74,2.43
1.69,0.63,0.0,0.04,1.6,0.0,0.73,2.39
1.69,0.8,0.0,0.02,0.95,0.0,0.69,2.26
3.38,0.4,0.0,0.04,1.7,0.0,0.75,2.46
3.38,0.63,0.0,0.04,1.59,0.0,0.72,2.36
3.38,0.8,0.0,0.02,0.95,0.0,0.7,2.27
6.75,0.4,0.0,0.04,1.7,0.0,0.77,2.47
6.75,0.63,0.0,0.04,1.59,0.0,0.73,2.37
6.75,0.8,0.0,0.02,0.95,0.0,0.69,2.24
13.5,0.4,0.0,0.04,1.7,0.0,0.76,2.44
13.5,0.63,0.0,0.04,1.59,0.0,0.72,2.34
13.5,0.8,0.0,0.02,0.95,0.0,0.69,2.26
27.0,0.4,0.0,0.04,1.7,0.0,0.82,2.63
27.0,0.63,0.0,0.04,1.6,0.0,0.8,2.6
27.0,0.8,0.0,0.02,0.95,0.0,0.68,2.22
54.0,0.4,0.0,0.04,1.7,0.0,0.78,2.56
54.0,0.63,0.0,0.04,1.6,0.0,0.75,2.46
54.0,0.8,0.0,0.02,0.95,0.0,0.68,2.23
108.0,0.4,0.0,0.04,1.71,0.0,0.82,2.74
108.0,0.63,0.0,0.04,1.6,0.0,0.81,2.6
108.0,0.8,0.0,0.02,0.95,0.0,0.68,2.24
216.0,0.4,0.0,0.04,1.71,0.0,0.85,2.84
216.0,0.63,0.0,0.04,1.61,0.0,0.85,2.73
216.0,0.8,0.0,0.02,0.95,0.0,0.65,2.14
432.0,0.4,0.0,0.04,1.7,0.0,0.8,2.69
432.0,0.63,0.0,0.04,1.6,0.0,0.8,2.6
432.0,0.8,0.0,0.02,0.95,0.0,0.65,2.14
864.0,0.4,0.0,0.04,1.7,0.0,0.79,2.69
864.0,0.63,0.0,0.04,1.6,0.0,0.79,2.61
864.0,0.8,0.0,0.02,0.95,0.0,0.63,2.12
1728.0,0.4,0.0,0.04,1.71,0.0,0.87,3.01
1728.0,0.63,0.0,0.04,1.61,0.0,0.87,2.91
1728.0,0.8,0.0,0.02,0.95,0.0,0.63,2.14
3456.0,0.4,0.0,0.04,1.71,0.0,0.76,2.7
3456.0,0.63,0.0,0.04,1.61,0.0,0.76,2.68
3456.0,0.8,0.0,0.02,0.95,0.0,0.64,2.21
