alpha_z,Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50
0.84,0.4,14.02,85.1,10.19,57.7,46.53,8.25
0.84,0.63,3.84,85.57,10.24,34.3,46.44,8.27
0.84,0.8,1.54,85.97,10.27,17.75,46.55,8.29
1.69,0.4,1.17,51.95,10.28,4.4,34.21,9.09
1.69,0.63,0.35,52.11,10.31,2.48,34.38,9.13
1.69,0.8,0.16,52.2,10.33,1.34,34.58,9.15
3.38,0.4,0.26,20.95,9.24,0.21,18.24,8.88
3.38,0.63,0.14,20.86,9.19,0.13,17.67,8.59
3.38,0.8,0.06,21.12,9.29,0.1,18.31,8.89
6.75,0.4,0.0,2.72,7.73,0.0,5.59,7.88
6.75,0.63,0.0,2.72,7.71,0.0,5.43,7.65
6.75,0.8,0.0,2.73,7.71,0.0,5.44,7.65
13.5,0.4,0.0,0.05,1.73,0.0,1.08,3.22
13.5,0.63,0.0,0.05,1.73,0.0,1.18,3.52
13.5,0.8,0.0,0.03,0.98,0.0,2.79,7.99
27.0,0.4,0.0,0.06,1.98,0.0,1.53,4.61
27.0,0.63,0.0,0.06,2.01,0.0,1.54,4.6
27.0,0.8,0.0,0.03,1.06,0.0,2.35,6.66
54.0,0.4,0.0,0.06,2.16,0.0,1.89,5.74
54.0,0.63,0.0,0.06,2.14,0.0,1.95,5.9
54.0,0.8,0.0,0.03,1.24,0.0,2.02,6.05
108.0,0.4,0.0,0.07,2.42,0.0,1.97,5.75
108.0,0.63,0.0,0.07,2.4,0.0,1.95,5.69
108.0,0.8,0.0,0.04,1.58,0.0,1.95,5.69
216.0,0.4,0.0,0.08,2.68,0.0,1.98,5.87
216.0,0.63,0.0,0.07,2.64,0.0,1.98,5.87
216.0,0.8,0.0,0.07,2.52,0.0,1.98,5.87
432.0,0.4,0.0,0.08,2.88,0.0,1.83,5.68
432.0,0.63,0.0,0.08,2.86,0.0,1.83,5.68
432.0,0.8,0.0,0.14,5.34,0.0,1.83,5.68
864.0,0.4,0.0,0.08,3.14,0.0,1.65,5.41
864.0,0.63,0.0,0.08,3.12,0.0,1.71,5.55
864.0,0.8,0.0,0.14,5.47,0.0,1.69,5.46
1728.0,0.4,0.0,0.08,3.27,0.0,1.66,5.76
1728.0,0.63,0.0,0.09,3.47,0.0,1.72,5.98
1728.0,0.8,0.0,0.14,5.47,0.0,1.72,5.98
3456.0,0.4,0.0,0.08,3.41,0.0,1.59,6.07
3456.0,0.63,0.0,0.08,3.36,0.0,1.58,6.0
3456.0,0.8,0.0,0.13,5.45,0.0,1.53,5.8
