alpha_x,Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50
13.5,0.4,1075.63,132.54,11.69,7.98,116.1,11.24
13.5,0.63,4565.17,183.96,12.84,10.24,132.82,11.88
13.5,0.8,6148.21,206.92,13.13,6.37,142.18,12.05
27.0,0.4,364.92,114.68,11.24,8.07,116.23,11.45
27.0,0.63,4141.06,163.08,12.03,10.56,130.16,12.16
27.0,0.8,6254.46,184.88,12.3,17.0,137.2,11.89
54.0,0.4,12.69,78.02,10.33,6.93,85.98,10.63
54.0,0.63,108.27,91.08,10.77,9.6,94.94,10.89
54.0,0.8,15.97,95.4,10.81,9.51,103.74,11.09
108.0,0.4,0.44,24.02,9.35,1.3,41.92,8.92
108.0,0.63,1.22,35.95,9.46,2.24,39.89,8.89
108.0,0.8,62.94,43.08,9.71,9.32,38.06,8.56
216.0,0.4,0.11,0.41,1.21,1.35,19.65,4.84
216.0,0.63,0.1,0.39,1.15,1.16,26.02,6.29
216.0,0.8,0.09,0.34,1.03,1.06,35.94,7.72
432.0,0.4,0.08,0.35,1.19,0.98,11.83,3.5
432.0,0.63,0.07,0.33,1.12,0.81,12.51,3.5
432.0,0.8,0.06,0.28,0.98,0.7,17.32,4.88
864.0,0.4,0.07,0.18,1.18,0.87,5.37,3.05
864.0,0.63,0.07,0.19,1.12,0.88,6.29,3.2
864.0,0.8,0.08,0.17,0.97,0.92,9.88,4.48
1728.0,0.4,0.03,0.06,1.17,0.33,1.67,2.87
1728.0,0.63,0.03,0.07,1.12,0.32,2.45,3.46
1728.0,0.8,0.03,0.06,0.96,0.3,3.68,4.51
3456.0,0.4,0.02,0.02,1.15,0.2,0.46,2.35
3456.0,0.63,0.01,0.02,1.1,0.15,0.68,3.31
3456.0,0.8,0.01,0.02,0.93,0.15,0.99,4.03
