alpha_z,Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50
13.5,0.4,3.3,43.08,10.8,16.95,27.58,8.67
13.5,0.63,1.74,42.83,10.96,13.01,24.58,8.22
13.5,0.8,2.42,42.85,11.05,16.79,25.42,8.17
27.0,0.4,0.45,0.12,1.55,5.46,12.25,8.29
27.0,0.63,0.43,0.13,1.58,5.16,11.97,7.36
27.0,0.8,0.41,0.1,1.22,4.9,13.04,7.8
54.0,0.4,0.0,0.04,1.74,0.01,1.22,4.19
54.0,0.63,0.0,0.04,1.63,0.0,1.05,3.58
54.0,0.8,0.0,0.02,0.98,0.0,9.61,4.0
108.0,0.4,0.0,0.04,1.76,0.0,0.83,2.97
108.0,0.63,0.0,0.04,1.62,0.0,0.88,3.08
108.0,0.8,0.0,0.02,0.97,0.0,1.27,4.64
216.0,0.4,0.0,0.04,1.74,0.0,0.91,3.47
216.0,0.63,0.0,0.04,1.63,0.0,0.95,3.62
216.0,0.8,0.0,0.02,0.96,0.0,0.93,3.69
432.0,0.4,0.0,0.03,1.74,0.0,0.87,3.93
432.0,0.63,0.0,0.03,1.63,0.0,0.88,3.81
432.0,0.8,0.0,0.02,0.96,0.0,0.82,3.61
864.0,0.4,0.0,0.03,1.73,0.0,0.66,3.77
864.0,0.63,0.0,0.02,1.63,0.0,0.66,3.59
864.0,0.8,0.0,0.01,0.96,0.0,0.65,3.65
1728.0,0.4,0.0,0.02,1.73,0.0,0.5,3.75
1728.0,0.63,0.0,0.02,1.62,0.0,0.5,3.56
1728.0,0.8,0.0,0.01,0.96,0.0,0.52,3.81
3456.0,0.4,0.0,0.01,1.73,0.0,0.36,3.71
3456.0,0.63,0.0,0.01,1.62,0.0,0.36,3.51
3456.0,0.8,0.0,0.01,0.96,0.0,0.44,4.54
