Q,Sync_Full,Amp_Full,Period_Full,Sync_0_50,Amp_0_50,Period_0_50,Alpha_Param,Alpha_Value
0.4,0.0,0.09,2.53,0.0,1.86,4.53,alpha_w,0.84375
0.4,0.0,0.09,2.52,0.0,1.79,4.36,alpha_w,1.6875
0.4,0.0,0.09,2.52,0.0,1.71,4.07,alpha_w,3.375
0.4,0.0,0.09,2.54,0.0,1.75,4.29,alpha_w,6.75
0.4,0.0,0.09,2.54,0.0,2.15,5.15,alpha_w,13.5
0.4,0.0,0.09,2.53,0.0,1.83,4.4,alpha_w,27.0
0.4,0.0,0.09,2.54,0.0,2.12,5.2,alpha_w,54.0
0.4,0.0,0.09,2.53,0.0,1.88,4.57,alpha_w,108.0
0.4,0.0,0.09,2.53,0.0,1.86,4.48,alpha_w,216.0
0.4,0.0,0.09,2.52,0.0,1.98,4.72,alpha_w,432.0
0.4,0.0,0.09,2.52,0.0,1.78,4.3,alpha_w,864.0
0.4,0.0,0.09,2.51,0.0,1.8,4.49,alpha_w,1728.0
0.4,0.0,0.08,2.52,0.0,1.77,4.4,alpha_w,3456.0
0.63,0.0,0.06,1.74,0.0,1.69,4.1,alpha_w,0.84375
0.63,0.0,0.06,1.75,0.0,1.58,3.86,alpha_w,1.6875
0.63,0.0,0.06,1.75,0.0,1.57,3.84,alpha_w,3.375
0.63,0.0,0.06,1.75,0.0,1.57,3.8,alpha_w,6.75
0.63,0.0,0.06,1.74,0.0,1.73,4.18,alpha_w,13.5
0.63,0.0,0.06,1.75,0.0,1.71,4.13,alpha_w,27.0
0.63,0.0,0.06,1.75,0.0,1.76,4.38,alpha_w,54.0
0.63,0.0,0.06,1.74,0.0,1.74,4.21,alpha_w,108.0
0.63,0.0,0.06,1.74,0.0,1.72,4.21,alpha_w,216.0
0.63,0.0,0.06,1.75,0.0,1.92,4.81,alpha_w,432.0
0.63,0.0,0.06,1.75,0.0,1.84,4.54,alpha_w,864.0
0.63,0.0,0.06,1.75,0.0,1.66,4.17,alpha_w,1728.0
0.63,0.0,0.06,1.75,0.0,1.59,4.01,alpha_w,3456.0
0.8,0.0,0.06,1.84,0.0,2.61,6.49,alpha_w,0.84375
0.8,0.0,0.06,1.84,0.0,2.51,6.17,alpha_w,1.6875
0.8,0.0,0.06,1.84,0.0,3.12,7.22,alpha_w,3.375
0.8,0.0,0.06,1.85,0.0,3.19,8.26,alpha_w,6.75
0.8,0.0,0.06,1.8,0.0,2.34,5.81,alpha_w,13.5
0.8,0.0,0.06,1.85,0.0,3.52,8.6,alpha_w,27.0
0.8,0.0,0.07,1.87,0.0,3.04,7.12,alpha_w,54.0
0.8,0.0,0.06,1.82,0.0,2.68,6.46,alpha_w,108.0
0.8,0.0,0.07,1.87,0.0,2.62,6.62,alpha_w,216.0
0.8,0.0,0.06,1.83,0.0,2.89,7.58,alpha_w,432.0
0.8,0.0,0.06,1.86,0.0,2.84,6.89,alpha_w,864.0
0.8,0.0,0.06,1.81,0.0,2.59,6.82,alpha_w,1728.0
0.8,0.0,0.06,1.84,0.0,2.23,6.01,alpha_w,3456.0
0.4,0.0,0.03,2.19,0.04,1.26,8.44,alpha_x,0.84375
0.4,0.0,0.02,2.17,0.04,0.7,7.81,alpha_x,1.6875
0.4,0.0,0.01,2.15,0.04,0.39,8.09,alpha_x,3.375
0.4,0.0,0.01,2.13,0.03,0.16,6.79,alpha_x,6.75
